New York,New York,-74.0059728,40.7127753
Los Angeles,California,-118.2436849,34.0522342
Chicago,Illinois,-87.6297982,41.8781136
Houston,Texas,-95.3698028,29.7604267
Philadelphia,Pennsylvania,-75.1652215,39.9525839
Phoenix,Arizona,-112.0740373,33.4483771
Indianapolis,Indiana,-86.158068,39.768403
Jacksonville,Florida,-81.655651,30.3321838
Columbus,Ohio,-82.9987942,39.9611755
Charlotte,North Carolina,-80.8431267,35.2270869
Detroit,Michigan,-83.0457538,42.331427
Memphis,Tennessee,-90.0489801,35.1495343
Seattle,Washington,-122.3320708,47.6062095
Denver,Colorado,-104.990251,39.7392358
Boston,Massachusetts,-71.0588801,42.3600825
Baltimore,Maryland,-76.6121893,39.2903848
Oklahoma City,Oklahoma,-97.5164276,35.4675602
Louisville,Kentucky,-85.7584557,38.2526647
Portland,Oregon,-122.6587185,45.5122308
Las Vegas,Nevada,-115.1398296,36.1699412
Milwaukee,Wisconsin,-87.9064736,43.0389025
Albuquerque,New Mexico,-106.650422,35.0843859
Kansas City,Missouri,-94.5785667,39.0997265
Virginia Beach,Virginia,-75.977985,36.8529263
Atlanta,Georgia,-84.3879824,33.7489954
Omaha,Nebraska,-95.9345034,41.2565369
Minneapolis,Minnesota,-93.2650108,44.977753
Wichita,Kansas,-97.330053,37.6871761
New Orleans,Louisiana,-90.0715323,29.9510658
Honolulu,Hawaii,-157.8583333,21.3069444
Anchorage,Alaska,-149.9002778,61.2180556
Newark,New Jersey,-74.1723667,40.735657
Boise City,Idaho,-116.2023137,43.6150186
Birmingham,Alabama,-86.8103567,33.5185892
Des Moines,Iowa,-93.6249593,41.5868353
Little Rock,Arkansas,-92.2895948,34.7464809
Salt Lake City,Utah,-111.8910474,40.7607793
Providence,Rhode Island,-71.4128343,41.8239891
Jackson,Mississippi,-90.1848103,32.2987573
Sioux Falls,South Dakota,-96.728333,43.5473028
Bridgeport,Connecticut,-73.1894384,41.1792258
Columbia,South Carolina,-81.0348144,34.0007104
Fargo,North Dakota,-96.7898034,46.8771863
Manchester,New Hampshire,-71.4547891,42.9956397
Billings,Montana,-108.5006904,45.7832856
Wilmington,Delaware,-75.5483909,39.744655
Portland,Maine,-70.2568189,43.6590993
Cheyenne,Wyoming,-104.8202462,41.1399814
Charleston,West Virginia,-81.6326234,38.3498195
Burlington,Vermont,-73.212072,44.4758825
San Antonio,Texas,-98.4936282,29.4241219
San Diego,California,-117.1610838,32.715738
Dallas,Texas,-96.7969879,32.7766642
San Jose,California,-121.8863286,37.3382082
Austin,Texas,-97.7430608,30.267153
San Francisco,California,-122.4194155,37.7749295
Fort Worth,Texas,-97.3307658,32.7554883
El Paso,Texas,-106.4850217,31.7618778
Nashville,Tennessee,-86.7816016,36.1626638
Tucson,Arizona,-110.9747108,32.2226066
Fresno,California,-119.7871247,36.7377981
Sacramento,California,-121.4943996,38.5815719
Long Beach,California,-118.1937395,33.7700504
Mesa,Arizona,-111.8314724,33.4151843
Colorado Springs,Colorado,-104.8213634,38.8338816
Raleigh,North Carolina,-78.6381787,35.7795897
Miami,Florida,-80.1917902,25.7616798
Oakland,California,-122.2711137,37.8043637
Tulsa,Oklahoma,-95.992775,36.1539816
Cleveland,Ohio,-81.6943605,41.49932
Arlington,Texas,-97.1080656,32.735687
Bakersfield,California,-119.0187125,35.3732921
Tampa,Florida,-82.4571776,27.950575
Aurora,Colorado,-104.8319195,39.7294319
Anaheim,California,-117.9143012,33.8365932
Santa Ana,California,-117.867653,33.7454725
St Louis,Missouri,-90.1994042,38.6270025
Riverside,California,-117.3754942,33.9806005
Corpus Christi,Texas,-97.396381,27.8005828
Lexington,Kentucky,-84.5037164,38.0405837
Pittsburgh,Pennsylvania,-79.9958864,40.4406248
Stockton,California,-121.2907796,37.9577016
Cincinnati,Ohio,-84.5120196,39.1031182
St Paul,Minnesota,-93.0899578,44.9537029
Toledo,Ohio,-83.5378674,41.6528052
Greensboro,North Carolina,-79.7919754,36.0726354
Plano,Texas,-96.6988856,33.0198431
Henderson,Nevada,-114.9817213,36.0395247
Lincoln,Nebraska,-96.7025955,40.813616
Buffalo,New York,-78.8783689,42.8864468
